Feature,Importance
wavelet-HHL_firstorder_Median,0.0012145572892911269
log-sigma-5-0-mm-3D_glrlm_GrayLevelNonUniformity,0.0012098494357801154
lbp-3D-k_glrlm_ShortRunLowGrayLevelEmphasis,0.0012085334672791944
log-sigma-2-0-mm-3D_glcm_Imc2,0.0012032442126063097
wavelet-HHH_gldm_DependenceEntropy,0.0011986811277233179
lbp-3D-k_glcm_Imc1,0.0011933130095473764
lbp-3D-m1_firstorder_Skewness,0.001191607870890224
wavelet-LHL_glszm_GrayLevelVariance,0.0011897199003959589
log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,0.001177787479200382
log-sigma-2-0-mm-3D_gldm_GrayLevelNonUniformity,0.0011774850117066069
square_firstorder_Maximum,0.001175812669493285
squareroot_firstorder_10Percentile,0.0011741112592379504
wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.0011732327224096767
lbp-3D-k_ngtdm_Strength,0.0011702972352371104
wavelet-LLL_gldm_SmallDependenceEmphasis,0.0011700895767747827
log-sigma-2-0-mm-3D_firstorder_Uniformity,0.0011586436976314218
wavelet-LHL_gldm_GrayLevelNonUniformity,0.0011580678155228114
squareroot_glrlm_GrayLevelNonUniformityNormalized,0.0011578758475423118
wavelet-HHL_gldm_DependenceNonUniformityNormalized,0.001157703870884496
wavelet-LLH_glcm_Idmn,0.001156823128099479
square_glszm_SmallAreaEmphasis,0.001156140972537467
wavelet-HLH_firstorder_Mean,0.0011560656414737749
squareroot_ngtdm_Complexity,0.001148091315313287
lbp-3D-k_gldm_DependenceEntropy,0.0011437549957765284
wavelet-LHL_glszm_LargeAreaEmphasis,0.0011401147442143256
log-sigma-2-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.001139932208102824
wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,0.0011251895536371305
log-sigma-3-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.0011251672188642477
log-sigma-5-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.0011243652052096262
wavelet-HLH_firstorder_10Percentile,0.0011172434952440454
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformity,0.0011125132616642659
gradient_glszm_SmallAreaHighGrayLevelEmphasis,0.0011031425184911293
wavelet-HLL_glszm_SmallAreaEmphasis,0.0010972070008403766
wavelet-LHL_glcm_MaximumProbability,0.0010952963673170031
log-sigma-4-0-mm-3D_ngtdm_Busyness,0.0010939200301285864
log-sigma-1-0-mm-3D_firstorder_Minimum,0.0010909949506970526
log-sigma-4-0-mm-3D_glcm_Idn,0.0010850780000603885
wavelet-HHH_glcm_Imc1,0.0010846784194245371
lbp-3D-m2_gldm_DependenceVariance,0.0010809092015799824
lbp-2D_gldm_DependenceNonUniformity,0.0010719470986811231
wavelet-HLH_glszm_SmallAreaLowGrayLevelEmphasis,0.0010692708405364724
wavelet-HLL_glrlm_LowGrayLevelRunEmphasis,0.001066708361636094
lbp-3D-m2_firstorder_Kurtosis,0.0010660867112215024
wavelet-LHL_gldm_LargeDependenceHighGrayLevelEmphasis,0.0010619065157760374
gradient_glszm_SizeZoneNonUniformity,0.001043162648758682
log-sigma-5-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.001042388187600095
lbp-3D-m1_gldm_LargeDependenceLowGrayLevelEmphasis,0.0010369456854089911
log-sigma-3-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.0010356022509028355
lbp-3D-k_glcm_Autocorrelation,0.0010346874583632845
wavelet-LHL_glcm_InverseVariance,0.0010327756763911194
lbp-3D-k_glrlm_GrayLevelNonUniformity,0.0010326442218231203
log-sigma-4-0-mm-3D_ngtdm_Contrast,0.0010326196526973756
wavelet-LLL_glcm_JointEnergy,0.0010302098906570998
gradient_glcm_MCC,0.0010265079346146095
